Questions,Answer
"That’s why people say ‘I didn’t do much today, yet I am tired’.","Yes, if the mind was occupied meaningfully, it wouldn’t have been creating so many negative and waste thoughts. It would have concentrated on something else. 40,000 to 50,000 thoughts a day is a lot. If they are not of the right quality, what happens to the system inside? Psychiatrists estimate that on an average, 80% of the time, our mind is in the past and 15% of the time it is in the future. So 95% of our thoughts go for a waste."
"Of the 80% thoughts about our past, I wonder how much is positive","There is nothing positive in the past, because if it was a pleasant past and I am thinking about it, chances are that I feel those days were better. So there is nothing positive there. People say it is good to have nice memories. Yes, it’s a memory, but it’s past. It’s over. What is important is ‘now’."
"People often speak about their past, about their jobs, the respect they had, and so on.","What we feel within at such times is ‘Those were the good times, but today I don’t have that kind of attention.’ So, by churning on the past, we may try to seek attention from people. We speak very few words in comparison to how much we think. There could be 25 to 30 thoughts per minute but not 25 to 30 sentences. One may not speak even 4 to 5 sentences a minute. Every thought has an effect on every cell of the body. Thoughts are the most powerful source of energy that we have. Let’s use them carefully. It’s like nuclear energy—you can use it to heal or to destroy the world—the energy is the same. MRI, CT scans are done with nuclear energy on one hand, and nuclear missiles are available on the other. They are the same energy. Every form of energy can be used for constructive as well as destructive purpose. It’s the same with thought energy. It can give and create love, peace, purity. It can also give and create hatred, resentment, worry, anxiety. It’s the same thought energy. The wonderful part is that these are my thoughts, so I have a choice."
"Every thought has an effect on my body. With thousands of thoughts per day, what will happen to my body?","Doctors today say most of our illnesses are psychosomatic—due to the mind-body connection. If we heal the mind, the body will start healing. Of course, we must take care of the body, but it will not be of much use if we take care only of the body without healing the mind. We meet people who are vegetarian, having clean habits, focussed on fitness, and yet have a heart attack at the age of 30 or 40. That’s because they took care only of the body, while the mind was stressed. Relax and reflect on these thoughts. Meditate. Let me sit back, relax, and look at my mind. No one else will come to know that I am looking. It’s something that goes on inside. And I am going to do it the whole day, while I am working, while I am talking, while I am driving, while I am walking; it’s about just being aware of my thoughts. My thoughts, my creation… something that I thought was happening automatically… I now realise the seed is me… I am the creator of every thought… every thought has an influence on my body… and on everyone around me…. Let me look at my thoughts… flowing beautifully… in control… because I realize I am the master…. Whatever happens around me… pleasant or not so nice… whatever anyone may do or say… however anyone may behave… I just sit back and look at my thoughts… and gradually channelise the thoughts into a different direction… because I am the master and the creator…. I turn the focus from outside to inside… because I understand now that the energy flows from inside me to everyone outside… So I am doing everything outside but my attention is on what I am creating inside… because what I create inside naturally flows outside…. I am honest with myself… honest in my thoughts… words and actions… and there is absolute harmony. This is trust…. I trust myself… I love myself… because I am a pure being…. Om Shanti!"
"After we spoke about awareness, I started speaking softly (I usually speak loudly) and my hand movements were not jerky. Everything felt peaceful, light and stable.","It proves that when you take care of the mind, everything else is taken care of. It is the mind that has an effect on the body, which creates words and they finally come into action. When we talk about transformation, we say—‘I want to change this habit. I want to change this part of my personality. I want to change this particular behaviour’—we always try to bring about transformation outside. The way I walk, the way I talk, the way I speak, the way I behave… we tell others also to behave in particular ways. Such a transformation is temporary because the seed is the ‘thought’. Not changing the thought will have a temporary effect. We go back to the old self soon. However, if I change the thought, I may not even be aware but I will find huge transformation outside."
"So we won’t need to work on each aspect of our body—our movement, speech, body language. Method acting teaches actors to go from within to the outside. If I start believing I am so and so, I perform that role to perfection, naturally.",I am creating the character inside. The whole sketch is there inside. Who does this inner work? My mind.
"Once you believe, things just happen. You are not acting anymore. You are living, you are playing.","You are naturally flowing. Similarly, I am a peaceful being. I have created the character inside, so now I don’t have to take care of how to speak, how to walk, how to behave. Once I am convinced inside that I— the actor—am a peaceful being, then everything that the actor will do will be through the vibration of peace."
"I should play the role of a peaceful personality. Suresh Oberoi as a peaceful being, happy being.","You need to come back to the root first—I, the peaceful being, who has this name, this body and plays this role. Whether it’s an actor, a doctor, a lawyer, it doesn’t matter what the role is."
So the peaceful being doesn’t have to learn each and every step since he is peaceful.,"Each one of us is an actor and playing so many roles. In your career as a movie actor, let’s say you played 300 roles, but every role had that stamp of you as the actor—only you played it in that way. If another actor copies you and plays the same roles, he will be different from you because he has his own style. So the actor’s personality will always reflect in every role he plays. So now I have to remember, who am I the actor and what are the roles I play? So whichever role I play—a father, a husband, a friend, a boss— the actor’s personality has to show in every role. Now who am I the actor? I am a pure, peaceful, love-full being. And it doesn’t matter whether I am talking to a friend or to my son, the peaceful personality will reflect in both. The reason I am different with different people today is that here I am a friend, and there I am a father."
"I have to play a father here, so I will order my child.","I have become more conscious of the role, rather than the actor who is playing the role. Old belief systems show that a father should behave a certain way. So I am behaving according to those set patterns of how a father should be—maybe authoritative, controlling or strict."
"If I am different with one person, speak differently to another, there is no consistency.","Because I have been role-conscious. I am a friend of this person, so I speak cheerfully. There I am the boss, so I behave with my juniors in a certain way. The actor inside is just not aware."
"But everybody does that—different at office, at home, with wife, with friends, and so on.",Which one of these is our original nature?
I don’t know. There are so many roles.,"Let’s take a simple example. We walk into an office and within 10 minutes we meet four people: one from the security, one at the reception, then someone in middle management, and finally the CEO. Four people in 10 minutes, and our behaviour changes four times. My way of talking to the security guard and my way of talking to the CEO are different. Out of these four, which one is my original personality?"
I am confused. I am playing different roles so I don’t have a consistent role.,"My original personality is missing because I am changing every time. I talked to a security guard, I talked to a receptionist, and accordingly I changed. Next I talked to a manager and so I changed; then I talked to the CEO, and I changed again. I connected to positions, to status, to physical looks, to all the things that are acquired."
But people say what is wrong in it? Everybody does it.,"We don’t know if it’s normal, but yes, we have been doing it for a very long time. We are talking and connecting to people on the basis of everything that’s acquired. Today you are the chairman, tomorrow you are not, so tomorrow my relationship with you will change. This means there was no relationship with you at all. And that’s why relationships are so fragile. I can change my behaviour towards you, the minute anything that you have acquired has changed. We are forgetting who we are. This acquired self is the ego. It is acquired by knowledge, by position, by wealth, by property. Everything that I have acquired—they are not me, they just belong to me. But when I am in the consciousness of ‘This is what I have acquired’ and ‘This is what you have acquired’, it is the ‘acquired entities’ talking to each other, not the people. And that’s why there isn’t a strong foundation. It’s the ego of one talking to the ego of the other. When egos are talking, it is a position talking to a position, a bank balance talking to another bank balance. What about the pure being talking to another pure being? This is where we really need to stop and realize that we are always connecting only to the outside, while the actor is dormant inside. Even if I find that actors around me are in slumber and I awaken, others will gradually wake up. When you are doing theatre, what do you do when one actor forgets his lines?"
"I use his line, give him a cue, try to help out, or improvise it so that the act goes on.","To be able to do that, what do you concentrate on? Suppose I am the actor and I forget my script. For you to help me, you will have to first pay attention to your script, right? You have two options. One, you pay attention to your script and just flow in the right way so that I will get the cue and I will also start flowing in the right direction. Two, you also get affected by the fact that I have forgotten my script, because of which your attention deviates from your script. You are more interested in telling me how and what I should be speaking. We are mostly focussed on other people’s script today… what they should be doing, what they should be saying, how they should be behaving. In the process, we are not aware of our own script, what I should be thinking, what I should be saying. Throughout the day, how many times are we writing other people’s script? We actually sit in front of the television writing the script for a minister, for a cricketer, for an actor —‘They shouldn’t be acting like this. They shouldn’t be wearing this. This is not how they should have done this’. We waste time and energy by writing their script. Let’s write only our script, because that is the only one that will be followed. I can keep on writing your script—how you should be, how you should talk, how you should perform, how you should behave. Will you follow my script? No. What a waste of time and energy. I write the scripts of so many co-actors in my life, and none of them are going to use my script."
It is so futile to be doing that and wasting time.,"At a time, you can write only one script. If I am writing yours, I am definitely not writing mine. Look at it this way—suppose you start saying something loudly to me, which I do not like. Now, instead of taking care of how I should respond, I start telling you, ‘This is not how you should be talking to me’. While I am trying to change your script, I go out of control. Soon I forget my own script and I start speaking louder and ruder than you did. When I start to write your script and forget my own lines, what happens to the play?"
Becomes a disaster.,"We see that happening everywhere today. If we just focus on our script, everyone else will take their cue. Someone next to you is getting angry, has lost his temper, is going out of control. But if you remain in control, he will soon come back into control because you have retained your composure. You are writing your script and they will come back to their original quality of peace. The other possibility is that, soon both of you will forget your script and go out of control. This is a choice we need to make—of writing our own script, because that’s the only worthwhile thing to do. Our other thoughts about them are wasteful. This is awareness. I am aware of how many times in the day I just keep thinking about what other people should be doing and saying."
"But why can’t I just stop myself and ask what is the point, why am I wasting time?","Now that we are aware, we will do. Earlier we were not aware, we thought it was natural to think that way. If you see a tap running, you immediately close it because water is getting wasted."
Our energy also depletes unnecessarily.,It depletes because we are thinking of what is not in our control.
Every thought has an effect on our body,The health of our body reflects the quality of our thoughts.
"Earlier I believed anger is natural. Once, someone who owed me money cheated me. It was so painful, I used to beat him up in my thoughts. I ended up having high blood pressure.","In this situation, someone has cheated you of money. There’s no denying that it is a grave situation. But let us keep our loss only till there. I have lost money and that was not in my control. Somebody else was responsible for it. But if I lose my peace of mind, physical health, harmony in my relationships, I am responsible. I can say I lost the money because of him. But for anything else that I lose, I am the reason. This is what I do to myself."
I was being irresponsible but I had thought it was natural.,"Let’s remember one thing: What I think I am doing to others, I am actually doing it to myself. If I am giving a cold shoulder to someone or speaking angrily, it is actually a cold shoulder to me and anger towards me. This is because, whatever I create is first getting created in my mind. This means I am the first one to experience it. The cold shoulder that I give you might not affect you at all, but since I created the thought, I am bound to get affected. When doing something for other people, good or bad, it’s less for them and more for ourselves."
"A healthy thought, a healthy body, a healthy life.","We need to nurture pure thoughts, loving thoughts, forgiving thoughts. Somebody has done something wrong, but I just forgive and forget. I am actually not forgiving him—I am forgiving myself. If I hold on to resentment and hatred, it’s not for the other person, it stays in me, in my mind. I create it and I am going experience it. So, the entire responsibility comes back to me."
"I met a Brahma Kumar who told me somebody cheated him of 50,000 rupees. But he created a thought, ‘May God give him so much that he does not repeat this act with anybody else. He must be in deep need. May God give him ten times more money, so no one else is cheated like I have been’. After eight years, the man who cheated returned with the money.","Your acquaintance sent him good vibrations, good wishes—pure energy. So the person returned him the money after eight years. The question is—What was the quality of the mind for those eight years? Your acquaintance created this thought that maybe the other person who took the money needed it badly and was needy. He even blessed the person to have much more. In other words, he was at peace. The other option for him was to harbour hatred, resentment and revenge. He would still get back the money after eight years, but he would have done so much damage to himself by then, that the money would not be able to repair it."
Let’s do a small meditation.,Relax and reflect on these thoughts. Meditate.
"Thoughts occur too quickly to be aware or control them. Once I am getting angry, I’m able to stop in some time. But I want that awareness before anger triggers.","This frankly is great start, to be at least aware. You are able to stop there right in the middle. It means if earlier you were going to stay angry for 10 minutes, now you will probably finish in a minute."
Something within reminds me to take control.,"Because we have changed our definition of what is natural. Earlier we said anger was natural, so we gave ourselves the liberty to get angry. We believed anger was needed to get work done. By justifying anger, we did not find the need to change. Now we are experimenting with a new belief system that peace is natural and we want peace. We understand it is our own sanskar. So when you get angry, you realize you are going against your natural self and stop."
Wouldn’t people consider us weak if we quietly listen to unpleasant things without reacting?,"What is more important: how I feel or what people feel? This is a critical question. We need to check carefully; answer may be different for each of us. For some, their own personal well-being is more important and for some, other people’s opinion matters more."
"I will say both, but honestly mine is more important.","Let’s visualise two colleagues—one of them screams and hurls abuses at the other. So the other person reacts likewise and screams even louder. Would we call this strength? In the same situation, suppose the second person remains calm and stable, understanding that it is not the right time to explain his perspective. Not only does he remain composed outwardly, but he empathizes and retains his good wishes for him. If you are a spectator in this scene, would you call this weakness? Let’s not even evaluate if it is strength or weakness; let’s just see which behaviour is better. If someone shouts at us, is it easier to shout back or to remain internally stable?"
Remaining stable is extremely difficult.,"Yes, so that’s where strength comes in."
"Doing something difficult amounts to strength, is it?","Yes, because it requires strength to do something difficult. If I have to lift this chair, it requires strength. If I say I can’t, that is my physical weakness. To do something against the tide of negative energy, to remain protected first and then create positive energy against the tide of negative energy, requires a tremendous strength. To shout back and then justify that the other person shouted first doesn’t require any strength at all."
"When we would get bullied at school, we got taunted if we remained quiet without reacting.","When bullied, we were quiet outwardly but internally we were disturbed. If a boss shouts at me, I can’t say anything back because of his position. But internally I am not stable and it starts having an impact on me. People may say I should have argued and finished the matter. They say it is better to get angry rather than suppress it. But here we are not talking about suppressing anger; we are talking about simply not creating that turbulent energy of anger at all. That is strength."
"People hear so much from their bosses, but internally they are in pain.","So they are already creating anger. It’s a silent form of anger and internal. Anger is anger, whether it is in the form of hurt, hatred or verbal abuse. It will affect you. But once I start taking care of my thoughts and feelings, I can first stop showing anger outside, and gradually stop creating it inside. Then it will not matter whether it’s my boss or my child, the rule remains the same."
How does one acquire this kind of mental stability?,"First, understand that anger is not strength. It’s an absolute weakness because in those moments I have gone out of emotional control. And going out of control is not strength."
"If anger is not strength, what is anger? Is it frustration or an inferiority complex?","Anger is the whole turbulence that takes place inside. I justify it and I blame the world for what I am feeling, and I want to retaliate. The anger could be because of one person and it might show up on another. We vent our anger in various ways and towards various people. I can’t show my anger to my boss, so I shout at my wife when I come home. My wife may not hit back at me, so she vents out her anger at the child. I can’t say I didn’t get angry at all. It’s just that I accumulated it inside. I didn’t vent it but then I created it, and eventually took it out on someone or the other. When we understand this mechanism, we will be paying attention. Every time I create a thought, what’s the next thing that happens?"
After the thought will be the action.,That’s at a later stage. What happens just after I create the thought?
"When I create a thought, I am creating certain emotions.","Yes. Immediately after I create a thought, a feeling is created. Sometimes we are not aware of our thoughts, but we are aware of our feelings. We say—‘I am not feeling very nice today’. We are not sure what is the thought behind that feeling, but we are aware that we are not feeling nice. Any feeling is a result of a thought we create. So, if we are not aware of thoughts, let us just be aware of how we feel. For example, ‘I have to meet you’—this is a thought I create. Based on my past experiences or what I have heard about you, it will immediately generate a feeling. Thought is always followed by a feeling. All my feelings put together, develop my attitude. A thought about you is followed by a feeling subsequently. And because this has happened several times, an attitude towards you is also created. We talk about ‘changing our attitude’, but it cannot directly change our attitude. We need to change our thoughts, so that our attitude will automatically change."
How to change the thought?,"Sit back, check, choose and change."
With awareness and practice. And awareness itself is practice.,Gradually you will find that your attitude has changed.
Then it becomes automatic,It is in the process plant.
"The basis is awareness of your thoughts, isn’t it?","There is a stage even prior to that. We will see that later. Now let’s consider the subsequent stages—thought, feeling, attitude, and action. If I have a positive attitude towards you, my way of talking and behaving with you will be a certain way. If I have a negative attitude, everything will be different."
I am reminded of my movie director calling out ‘action’ and I start enacting my scene. He says ‘cut’ and I stop.,"We can do this throughout the day—action and then cut. In your profession you have a retake, but we don’t have it in life. When shooting for a movie, despite the retakes you pay attention each time. In life, where there is no retake, we hardly pay attention. Every thought that I create has an impact on me and my body and the people around me. Suppose for 10 minutes I create thoughts of pain, and in the 11th minute I say ‘Enough now’ and stop. But now I cannot change those 10 minutes of pain. That’s why constant awareness is a must. It comes with practice. Gradually 10 minutes will reduce to 8… 5… 3, and then we will be able to say ‘It’s okay, this is it.’ Finally we reach a stage where we will not be creating pain. We will be aware of it as soon as we are about to create it and say ‘Okay, change.’"
So one day we won’t create it at all.,"Yes, because then I have come into the consciousness of my original self—that of a pure being. We are right now in the transition stage. It’s like we are sleeping and trying to wake up. We wake up and say ‘Let me sleep for 5 more minutes.’ Right now we wake up to the truth that we are peaceful beings but then we create anger once more, and that is we fall asleep again."
"One has to believe first. If I tell somebody he is a peaceful being, he will ask for proof. Is it because everyone yearns for peace?","We only yearn for what we are. The body is made of five elements of nature: water, air, ether, fire and earth. Whenever there is lack of even one of them, we immediately seek it. We say ‘I want water,’ or ‘I want fresh air.’ Why do I need them? Because our body is made of them and lacking them right now. At those moments if you offer me anything else, I will reject. Similarly, I the being am made up of seven elements: purity, peace, power, love, knowledge, truth and bliss. Every time there is an imbalance, we say: I want peace, I want happiness, I want love, or I want power. The method may be different but everyone is looking for the same things. I can be using anger as a tool, but I am never comfortable when I am angry. Anger is not my nature; it is an acquired ‘sanskar,’ an acquired personality trait."
"Probably that is why we like to be in the company of a saint, or go to a place of worship.","Yes, because we come closer to our natural self. We feel nice watching sunrise and sunsets. But stuck in the middle of a traffic jam we don’t feel nice. Why? Chaos is not our natural self. A place or person or a situation that makes us feel closer to what we actually are, makes us feel nice as well."
So the 7 elements or qualities are me. How does one have them all the time?,"We need to understand the complete process. First I am changing my thought from ‘I want peace’ to ‘I am peace.’ When my thought changes, my feeling will change, my attitude will change, and my action will change. Now my actions will not be focussed on seeking peace, because now I know that I am peace. My actions will arise out of my nature of peace. Any action repeated a number of times becomes a habit. All my habits put together create my personality. So who I am today, or my personality today, is a package of every thought I create. Personality development programmes teach us to talk this way, smile that way and so on, but these outer gestures will not help if we are unhappy within. How can I smile if I am not happy? Even if I smile, what energy do I radiate? So, personality begins in the mind. So the inner mechanism is this: thought—feeling—attitude—action— habit—personality. Now, we come to the last and most important step— This personality goes out into the world, working, socializing and being with family, so at every step I am creating my destiny. It starts with thoughts and leads up to destiny."
So every thought is creating destiny? And life is a manifestation of one’s thoughts?,"We are willing to do anything to change our destiny today. We go to an astrologer, to a numerologist, to a tarot card reader. We want them to predict our destiny, and if it’s not what we like, then we ask them to do something to change our destiny. The truth is that no one else can change our destiny."
How can we change our thinking?,"The first step is to realize its importance. Earlier we would say ‘They did this to me, so I had to react’. But now we are aware that what we think creates our destiny. We were confused about destiny. We said ‘It was my fate, my luck’. But who decided the fate? Since we didn’t know who it was, we said God decided it. We put the blame on someone else because we were not ready to take responsibility. The fact is, I am creating my destiny. The energy that I send out is my ‘karma’ and the same energy, when it comes back in the form of situations or people, is my ‘destiny’. An astrologer might ask us to wear a ring to improve our life’s situation. We obey and wear that ring. When we wear the ring, we create a thought, ‘Now things will be better for me’. So things become fine because we use the ring as a stimulus to change our thoughts, and thereby change our destiny."
Does it boil down to having faith in that ring?,"Yes. If I wear the ring without faith, it will not work."
"Someone can write a particular prayer, put it into a taweez. We wear it around the neck believing that no black magic or evil eye will thereafter affect us. We become sure that nothing wrong can happen. So our thoughts change.","For how long are you able to create that thought after wearing it? If we are not aware, this thought will be there for a few days. After that, the ring or taweez is just a part of the body."
"I never thought of this. I feel if I wear it, my negativities finish and I will be happy. I forget it after sometime and go back to my old nature. I haven’t changed myself at the core.","You used the ring as a stimulant to change your thought. Until you are aware of the ring, you are creating the right thought and the belief that ‘Now everything will be okay, no one can harm me’. This was the thought that you required—either with or without the ring. But because you are wearing the ring, faith in the ring makes it easier to create these thoughts. One month down the line the ring is just a part of your body and you lose the awareness of wearing it. Chances are that again you will go back to the old thought process—‘They did this to me; they did that to me.’ When you forget that you are wearing the ring, then the effect will not be there."
Is the stimulus creating my thought?,Stimulus does not create my thought. I use the stimulus to create my thought.
I am creating my thought because of the stimulus. Can we do the same without the ring?,"You are creating the thought, not the ring."
Can we have a meditation?,Relax and reflect on these thoughts. Meditate. My life… my journey…. I am writing the script… as I create every thought…. I am writing my own destiny… let me be aware that no situation is happening on its own… I have written my destiny…. Whatever is happening to me now. I had written the script for it much earlier…. What I am doing now… what I think now. I am writing my script for my present and for my future…. The control… the power is totally with me…. Let me be awake and aware that I am the scriptwriter of my destiny… I the powerful being…. I am not influenced by situations and people… focus and attention on my thoughts manifesting into my destiny. Om Shanti!
We discussed about life being a manifestation of one’s thoughts. We also discussed about the essence of future predictions.,"We need to understand it in the right perspective. Astrology, numerology, or any other similar branch that predicts our future is a science. People who have studied those science over a period have mastered it. They are like doctors who have studied the body thoroughly. Suppose I consult a doctor with my blood-test reports, he may say there is a probability that in the future I am at risk of getting diabetes. He makes that assessment based on my genetic factors, my current lifestyle and on present health parameters. Going back home with the new information and I have two ways of responding. One—I start thinking, ‘I will have diabetes, it is sure to happen because my mother has it, my grandmother has it, I have so much stress, my lifestyle is very erratic, even the doctor has predicted. I am going to have diabetes.’ The doctor said that I ‘may’ get it within a year, if don’t take the right measures. But with my negative attitude, it is possible that I will get it within six months. The stress that I create with the doctor’s information will precipitate the disease. And ultimately, I will say the doctor was right. The other option I have after I receive this information from the doctor is to take complete charge of myself. I bring about a shift in my lifestyle. I start walking daily, I do meditation, pranayam and yoga. I change my food habits and sleep timings. I take care of my emotions and lead a healthy lifestyle. There is a big chance that I will never have diabetes. The doctor’s assessment will not come true in this case. It is all about how we respond to an assessment or prediction. There was a probability of my getting diabetes, so that part was pure science. But it was still a probability, not a reality. I considered that probability as a warning signal and changed my lifestyle. The assessment became invalid because I took charge. But if I don’t take charge and I just accept the probability as an upcoming reality, it is going to become the reality. I have accepted it already, I have created anxiety and worry, and so it is going to happen because the probability was already there. In the same way, I go to an astrologer. He might say based on the planets, the moon, the stars, their positions right now, that there is a probability that something unpleasant will happen in the next six months— a probability of physical health getting affected or business facing obstacles, or someone trying to harm you. It’s only a probability, not yet a reality. This is very important to understand that it’s a probability predicted by someone who understands the science. So, we thank them for making this prediction and giving us the probability, but now we need to take charge."
Should we take it as a warning and do something to ensure that the prediction doesn’t manifest?,"Yes, but only if we have the power to listen to the information and not get influenced by it. What happens, unfortunately, is that when somebody gives us a prediction, we accept it as a reality. We say ‘This IS going to happen, because an expert has said this, and his predictions for so many people have come true. It’s going to come true in my case as well.’ By creating this thought, we have already converted the probability into a reality. Our mind accepts that it is going to happen. Thoughts create destiny, and so it happens."
"Perhaps that expert’s predictions had come true in the past, so we tend to believe him.","True. It is pure science and there is nothing wrong about predictions. It’s a probability, but people may accept the prediction as a reality. The mind accepts it, so it manifests as reality."
But don’t predictions help to change destiny?,"There are two ways. Suppose someone predicts that my next 6 months are going to be challenging since planetary movements are not favourable. They say whatever I do, I am not going to be successful. It’s a prediction. If I don’t know this prediction, I don’t know this piece of information. So I put in all my efforts. Obstacles do come, but I overcome them because I am motivated to succeed. I want success and I am working for success. I don’t get demotivated by obstacles. The other option is I know the prediction that success is difficult because of unfavourable planetary movements. This information can be so dominant in my mind that I may not be able to raise my thoughts over it. I start my business but I my thoughts are—‘What is the use when I know I cannot be successful in these 6 months? Whatever I do, there is going to be a problem.’ Now, even when I am faced with the smallest of obstacles, I reiterate that this was bound to happen. So I lose the enthusiasm needed to overcome the obstacle."
"So, it is safer not to have this piece of information.","Either you don’t seek predictions, or you develop the ability to elevate your thoughts higher than the prediction. Take it as a challenge."
"My thoughts should be, ‘I am peace; I am bliss; I am knowledge; I am powerful.’",Absolutely. Now where is the obstacle? The obstacle can only be outside. The only thing required to face it is stability inside.
Even a child falls so many times before he learns how to walk.,"Each time he falls, he gets up and starts walking again. Suppose somebody predicts—‘You are not going to get up for the next 6 months, try as much as you want. You are only going to fall.’ If I accept this prediction, the very first time I fall, I might say, ‘Forget it, I will try after 6 months. There is no point trying until then.’ So I don’t even try with the right energy, and because I don’t create the right thoughts, I don’t get the right destiny. On hearing the prediction, we ask them for a solution to be successful in these 6 months. Then we are asked to wear a particular colour, a particular finger ring and so on. Do the planets change positions when we do that? No, they are still the same. But we are doing something that is helping us to change our thoughts. First, we had the information that these 6 months would not go right for us, and so we were demotivated. Now we have the information that if we wear this particular finger ring, success is certain. We create the thought, ‘I am wearing this and now I am going to cross any obstacle. My success is certain.’"
It is said that the rays of the Sun pass through the stone and enter our skin.,"I, the being, is energy. I have vibrations. As will be the qualities of the being—love, peace, purity—so will be the aura of the person. The photographs of deities always feature a white light around the head, which symbolizes purity of the soul. If the soul is pure, the aura is white. If there are toxic emotions, the aura could be towards red, blue, or grey. By using an external stimulus, we try to change the colour of our aura, which then will have an effect on the mind. So, we are going from outside to inside. But the easiest way will be to change my thought, so that my aura will automatically change, my vibrations will change, my situations will change."
Basically the colours and stones are changing our aura?,"Yes, they do work, but the extent and duration need to be evaluated. Someone asks you to wear a red shirt for things to be better. How often can one wear a red colour shirt? Why not just create powerful thoughts instead? We believe that the easiest method is to change something outside, to experience a change inside. It’s actually about changing something inside, to experience results outside. The process is inside-out, not outside-in. The inside is in my control and I have the power to make a permanent change."
"When you do it from outside, you do not have complete control. Moreover, predictions do go wrong at times.","They were not predicting reality; they were predicting a probability. We need to remember this. We have no right to say anything to them. A probability always comes with a certain percentage attached. They may predict that your next 6 months will be beautiful, but if you are demotivated inside, nothing will be smooth. So the prediction turns out to be wrong. We have been discussing about the effect of external influences on our mind. We saw how our mind can go beyond the influence of situations, objects and people. If my mind can do that, then we can also go beyond the influence of planets. Planets are also an external influence. They do have an influence, but we choose whether to get overpowered by it, or rise above their influence. When we are weak internally, everything will have a bigger influence on us—someone’s smallest word will disturb us because we are weak. The mind will not have the power to cope, accommodate and pack up unwanted thoughts. So your one word can upset me for days or even for 6 months. If your one word can upset me for the next 6 months, the planets’ movement can also upset me for the next 6 months. It is all about rising above external influences."
Basically I choose whether to get disturbed or not.,"Yes. Sometimes they say, ‘You don’t get along well with your spouse because you bedroom is in so-and-so direction. Change your bedroom, and the change in direction will bring harmony.’ Is it necessary that everyone whose house is in the right direction has a good relationship? No. If this had to work, then everyone would just change the direction of their house, wear particular stones, and live blissfully. Many of us are following what they say, but pain and failure still there."
But it has worked for people.,"For some time, yes. They create a thought, ‘I have done this, now my relationship will be good.’ Six months down the line, they would have forgotten that they changed the direction of their room. North, south, east, west—these are energies, magnetic fields. Each direction is a field and it will have its effect. But the highest field is here (in the mind). If we are determined to get along with each other no matter what, then we actually create harmony regardless of the room’s direction. On the other hand, if we cannot get along, then we end up with conflicts even in the bestdesigned house. It’s about the mind being ready to take the challenge. We cannot keep changing everything outside. I can change the house, but can I change the other person? I can only change the way I think."
But they share examples of how change in direction brings energy.,"Absolutely. It is science so there is no doubt about that. But there is a science, an energy that is more powerful than the energy of alphabets, numbers or planets. It is my own energy, the energy of the consciousness."
I am weak internally if I rely on other energies. I have a much stronger energy within me.,"If I can’t take charge of my mind, I try to take charge of everything else outside. When should I begin a new business, what direction should my office face, which stone should I wear, what symbol should be displayed in my office… I take care of everything around me, because I don’t have the power to take care of my thoughts."
I have a bigger power within yet I seek peace from weaker powers.,"The weaker we become, the more we look outside. The lesser control I have on myself, the more my power is reducing, because I am not taking care. If you don’t discipline your child at the right time, he will lose his way eventually."
What care is to be taken?,"Discipline the mind, be aware, take care, and choose the right thought."
"It is very important to understand who I am, how powerful I am. If I am peace, I don’t ‘want’ it anymore.","Yes, I don’t have to ‘do’ anything to be peaceful"
I don’t say ‘please give me some power.’ I am power. Why will I need it?,"We will not need at least externally. Everything external is needed for physical comfort—for fun, excitement or entertainment. But not for peace and happiness."
"I used to get disappointed that I took my family for a holiday to make them happy, but my child came back unhappy.","Be happy and then go for the holiday. Don’t go for a holiday to be happy. I am not going on the holiday for happiness. I am going for fun, for a change of routine. That’s all that a holiday is. So holiday will not be for pursuing happiness, it will be for expressing and sharing the happiness that we are already filled with. Our perspective changes from taking to giving, so we look forward to meeting people, we look forward to being with everybody, so that we can radiate our happiness to them. Not so that they can make us happy. I am a peaceful and happy, but I get to experience it and express it only when I am in interaction with someone. If I am sitting by myself, I don’t get to express or experience my own qualities, and that’s why relationships are so important. Unless I come into interactions, unless I have an exchange of energy, I will not be expressing and experiencing. I experience my quality only when it comes out. When I give anger to you, I first experience it. Similarly, when I give peace to you, I first experience it. I experience my happiness only when I am in interaction with someone, so I look forward to going to work, I look forward to meeting family and friends—not for wanting but for expressing and experiencing, and therefore sharing."
It feels so nice when our good qualities radiate naturally and we are not trying hard.,"We are ‘human beings’, but today we have become ‘human doings.’ We are doing so many things. Let us ‘be’ what we are supposed to be. Spirituality says ‘Be happy and do this, because you are a human being, doing an action’."
"Human being, doing an action. Let’s have a meditation.","Relax and reflect on these thoughts. This body is my costume… it is just a machine…. I am the controller and the operator of this machine…. Consciousness… energy… the spiritual being… my original sanskar is purity, peace and happiness…. Let me look at myself… consciousness at the centre of the forehead… the operator sitting there taking charge of this machine… playing roles… relationships and responsibilities…. I the human being doing action… but as I do… I express what I am…. Let me look at myself driving to work… at office with my colleagues… at home with my friends and family… with the awareness… I am a pure being doing things… interacting with people…. and thereby expressing and experiencing my original sanskar of peace and happiness…. Let me see how the day will be. Om Shanti!"
